"Step","video-llava - recall","video-llava - recall__MIN","video-llava - recall__MAX"
"0","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"1","0.29411764705882354","0.29411764705882354","0.29411764705882354"
"2","0.8695652173913043","0.8695652173913043","0.8695652173913043"
"3","1","1","1"
"4","1","1","1"
"5","0.9473684210526315","0.9473684210526315","0.9473684210526315"
"6","0.8666666666666667","0.8666666666666667","0.8666666666666667"
"8","0.5882352941176471","0.5882352941176471","0.5882352941176471"
"10","1","1","1"
"11","0.5454545454545454","0.5454545454545454","0.5454545454545454"
"12","0.8695652173913043","0.8695652173913043","0.8695652173913043"
"13","0.2222222222222222","0.2222222222222222","0.2222222222222222"
"14","0.2222222222222222","0.2222222222222222","0.2222222222222222"
"15","0.55","0.55","0.55"
"16","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"17","0.45454545454545453","0.45454545454545453","0.45454545454545453"
"18","1","1","1"
"19","1","1","1"
"20","0.2857142857142857","0.2857142857142857","0.2857142857142857"
"21","0.24","0.24","0.24"
"22","0.7","0.7","0.7"
"23","0.46153846153846156","0.46153846153846156","0.46153846153846156"
"24","0.15789473684210525","0.15789473684210525","0.15789473684210525"
"25","0.56","0.56","0.56"
"26","0.42105263157894735","0.42105263157894735","0.42105263157894735"
"27","0.9230769230769231","0.9230769230769231","0.9230769230769231"
"28","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"29","1","1","1"
"30","0.9285714285714286","0.9285714285714286","0.9285714285714286"
"31","0.9473684210526315","0.9473684210526315","0.9473684210526315"
"32","1","1","1"
"33","0.14285714285714285","0.14285714285714285","0.14285714285714285"
"34","0.9090909090909091","0.9090909090909091","0.9090909090909091"
"35","0.09090909090909091","0.09090909090909091","0.09090909090909091"
"36","0.8666666666666667","0.8666666666666667","0.8666666666666667"
"37","1","1","1"
"38","0","0","0"
"39","0.8571428571428571","0.8571428571428571","0.8571428571428571"
"40","1","1","1"
"41","0.13333333333333333","0.13333333333333333","0.13333333333333333"
"42","0.9166666666666666","0.9166666666666666","0.9166666666666666"
"43","0.9090909090909091","0.9090909090909091","0.9090909090909091"
"44","0.9473684210526315","0.9473684210526315","0.9473684210526315"
"45","0.8947368421052632","0.8947368421052632","0.8947368421052632"
"46","0","0","0"
"47","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"48","0.1111111111111111","0.1111111111111111","0.1111111111111111"
"49","0.9090909090909091","0.9090909090909091","0.9090909090909091"
"51","0.6363636363636364","0.6363636363636364","0.6363636363636364"
"52","0.2727272727272727","0.2727272727272727","0.2727272727272727"
"53","1","1","1"
"54","0.5454545454545454","0.5454545454545454","0.5454545454545454"
"55","0.9090909090909091","0.9090909090909091","0.9090909090909091"
"56","1","1","1"
"57","0.9090909090909091","0.9090909090909091","0.9090909090909091"
"58","1","1","1"
"59","0.17391304347826086","0.17391304347826086","0.17391304347826086"
"60","0.8695652173913043","0.8695652173913043","0.8695652173913043"
"61","1","1","1"
"62","1","1","1"
"63","0.15789473684210525","0.15789473684210525","0.15789473684210525"
"64","0.9333333333333333","0.9333333333333333","0.9333333333333333"
"65","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"66","0.26666666666666666","0.26666666666666666","0.26666666666666666"
"67","0.9473684210526315","0.9473684210526315","0.9473684210526315"
"68","0.17391304347826086","0.17391304347826086","0.17391304347826086"
"69","0.9090909090909091","0.9090909090909091","0.9090909090909091"
"70","0.8695652173913043","0.8695652173913043","0.8695652173913043"
"72","0.8947368421052632","0.8947368421052632","0.8947368421052632"
"73","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"74","0.5454545454545454","0.5454545454545454","0.5454545454545454"
"75","0.5555555555555556","0.5555555555555556","0.5555555555555556"
"76","0.9333333333333333","0.9333333333333333","0.9333333333333333"
"77","0.8571428571428571","0.8571428571428571","0.8571428571428571"
"78","1","1","1"
"79","1","1","1"
"80","1","1","1"
"81","1","1","1"
"82","0.42857142857142855","0.42857142857142855","0.42857142857142855"
"83","1","1","1"
"84","0.9090909090909091","0.9090909090909091","0.9090909090909091"
"85","0.8666666666666667","0.8666666666666667","0.8666666666666667"
"86","0.29411764705882354","0.29411764705882354","0.29411764705882354"
"87","0.2222222222222222","0.2222222222222222","0.2222222222222222"
"88","0.8666666666666667","0.8666666666666667","0.8666666666666667"
"90","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"91","0.2727272727272727","0.2727272727272727","0.2727272727272727"
"92","0.6363636363636364","0.6363636363636364","0.6363636363636364"
"93","1","1","1"
"94","0.8571428571428571","0.8571428571428571","0.8571428571428571"
"95","0.3157894736842105","0.3157894736842105","0.3157894736842105"
"96","1","1","1"
"97","1","1","1"
"100","0.8947368421052632","0.8947368421052632","0.8947368421052632"
"101","0.3684210526315789","0.3684210526315789","0.3684210526315789"
"102","0.14285714285714285","0.14285714285714285","0.14285714285714285"
"103","1","1","1"
"104","1","1","1"
"105","0.2857142857142857","0.2857142857142857","0.2857142857142857"
"106","1","1","1"
"107","0.6153846153846154","0.6153846153846154","0.6153846153846154"
"108","0.9285714285714286","0.9285714285714286","0.9285714285714286"
"110","0.8421052631578947","0.8421052631578947","0.8421052631578947"
"111","0.25","0.25","0.25"
"112","0.2","0.2","0.2"
"113","0.9333333333333333","0.9333333333333333","0.9333333333333333"
"114","0.4166666666666667","0.4166666666666667","0.4166666666666667"
"115","1","1","1"
"116","1","1","1"
"117","0.15789473684210525","0.15789473684210525","0.15789473684210525"
"118","0.9473684210526315","0.9473684210526315","0.9473684210526315"
"119","0.25","0.25","0.25"
"120","0.2727272727272727","0.2727272727272727","0.2727272727272727"
"121","0.18181818181818182","0.18181818181818182","0.18181818181818182"
"122","0.9090909090909091","0.9090909090909091","0.9090909090909091"
"123","0.6428571428571429","0.6428571428571429","0.6428571428571429"
"124","1","1","1"
"125","1","1","1"
"126","0.1111111111111111","0.1111111111111111","0.1111111111111111"
"127","1","1","1"
"128","0.9375","0.9375","0.9375"
"129","1","1","1"
"130","0.18181818181818182","0.18181818181818182","0.18181818181818182"
"131","0.23076923076923078","0.23076923076923078","0.23076923076923078"
"132","0.7142857142857143","0.7142857142857143","0.7142857142857143"
"133","0.45","0.45","0.45"
"134","0.3","0.3","0.3"
"135","0.3157894736842105","0.3157894736842105","0.3157894736842105"
"136","0.5555555555555556","0.5555555555555556","0.5555555555555556"
"137","1","1","1"
"138","0.17391304347826086","0.17391304347826086","0.17391304347826086"
"139","0.8695652173913043","0.8695652173913043","0.8695652173913043"
"140","0.2222222222222222","0.2222222222222222","0.2222222222222222"
"141","0.38461538461538464","0.38461538461538464","0.38461538461538464"
"142","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"143","1","1","1"
"144","0.4166666666666667","0.4166666666666667","0.4166666666666667"
"145","1","1","1"
"146","1","1","1"
"147","0.375","0.375","0.375"
"148","1","1","1"
"149","0.9473684210526315","0.9473684210526315","0.9473684210526315"
"150","0.25","0.25","0.25"
"151","0.45454545454545453","0.45454545454545453","0.45454545454545453"
"152","1","1","1"
"153","1","1","1"
"154","0.36363636363636365","0.36363636363636365","0.36363636363636365"
"155","0.3076923076923077","0.3076923076923077","0.3076923076923077"
"156","1","1","1"
"157","0.42857142857142855","0.42857142857142855","0.42857142857142855"
"158","0.05263157894736842","0.05263157894736842","0.05263157894736842"
"159","1","1","1"
"160","0.42857142857142855","0.42857142857142855","0.42857142857142855"
"161","0.9285714285714286","0.9285714285714286","0.9285714285714286"
"162","0","0","0"
"163","0.9473684210526315","0.9473684210526315","0.9473684210526315"
"164","0.2","0.2","0.2"
"165","0.09090909090909091","0.09090909090909091","0.09090909090909091"
"166","0.21428571428571427","0.21428571428571427","0.21428571428571427"
"167","0.6","0.6","0.6"
"168","0.9285714285714286","0.9285714285714286","0.9285714285714286"
"169","0.9230769230769231","0.9230769230769231","0.9230769230769231"
"170","0.9090909090909091","0.9090909090909091","0.9090909090909091"
"171","0.13043478260869565","0.13043478260869565","0.13043478260869565"
"172","0.2857142857142857","0.2857142857142857","0.2857142857142857"
"173","0.18181818181818182","0.18181818181818182","0.18181818181818182"
"174","0.9166666666666666","0.9166666666666666","0.9166666666666666"
"175","0.875","0.875","0.875"
"176","0.8666666666666667","0.8666666666666667","0.8666666666666667"
"177","0.12","0.12","0.12"
"178","0.14285714285714285","0.14285714285714285","0.14285714285714285"
"179","0.9090909090909091","0.9090909090909091","0.9090909090909091"
"180","1","1","1"
"182","0","0","0"
"183","0.9473684210526315","0.9473684210526315","0.9473684210526315"
"184","1","1","1"
"185","1","1","1"
"186","0.52","0.52","0.52"
"187","1","1","1"
"188","0","0","0"
"189","0.375","0.375","0.375"
"190","1","1","1"
"191","0.18181818181818182","0.18181818181818182","0.18181818181818182"
"192","0.21052631578947367","0.21052631578947367","0.21052631578947367"
"193","1","1","1"
"194","0.5454545454545454","0.5454545454545454","0.5454545454545454"
"195","1","1","1"
"196","0.5454545454545454","0.5454545454545454","0.5454545454545454"
"197","1","1","1"
"198","1","1","1"
"199","0.8333333333333334","0.8333333333333334","0.8333333333333334"
"200","0.9473684210526315","0.9473684210526315","0.9473684210526315"
"201","0.9","0.9","0.9"
"203","0.18181818181818182","0.18181818181818182","0.18181818181818182"
"204","0.05555555555555555","0.05555555555555555","0.05555555555555555"
"205","1","1","1"
"206","1","1","1"
"207","1","1","1"
"208","0.9166666666666666","0.9166666666666666","0.9166666666666666"
"209","0.6363636363636364","0.6363636363636364","0.6363636363636364"
"210","0.8695652173913043","0.8695652173913043","0.8695652173913043"
"211","0.25","0.25","0.25"
"212","1","1","1"
"213","1","1","1"
"214","0.21739130434782608","0.21739130434782608","0.21739130434782608"
"215","0.18181818181818182","0.18181818181818182","0.18181818181818182"
"216","1","1","1"
"217","0.8571428571428571","0.8571428571428571","0.8571428571428571"
"218","0.96","0.96","0.96"
"219","1","1","1"
"220","0.8571428571428571","0.8571428571428571","0.8571428571428571"
"221","0.9166666666666666","0.9166666666666666","0.9166666666666666"
"222","1","1","1"
"223","0.9411764705882353","0.9411764705882353","0.9411764705882353"
"224","0.9230769230769231","0.9230769230769231","0.9230769230769231"
"225","1","1","1"
"226","0.25","0.25","0.25"
"227","0.9473684210526315","0.9473684210526315","0.9473684210526315"
"228","1","1","1"
"229","0.8695652173913043","0.8695652173913043","0.8695652173913043"
"230","1","1","1"
"231","0.9375","0.9375","0.9375"
"232","1","1","1"
"233","1","1","1"
"234","0.95","0.95","0.95"
"235","0.9090909090909091","0.9090909090909091","0.9090909090909091"
"236","0.5","0.5","0.5"
